,title,dates,place,description
99,🖍 Yogando Imparo 🌺,28.02.2025 | 17:00 - 18:30,"ODE - Officina degli Esordi

🌸 Yogando Imparo 🌸 con Marianna Turturo

Una lezione di yoga per bambinə dai 6 agli 11 anni. Durante il laboratorio il gruppo entrerà nel fantastico mondo dello yoga, scoprendo luoghi selvaggi, animali fantastici e sperimentando  posizioni divertenti. Seguiranno momenti creativi con disegno e pittura ed infine faranno esperienza, attraverso il rilassamento guidato, di ambienti naturali come il bosco o l’ambiente marino. ",
100,✊ BariNextGen vol.2 - Youth Center spiegati semplici semplici,25.02.2025 | 18:30 - 20:30,"Spazio 13

✨ Secondo incontro di comunità della campagna BariNextGen: parliamo di Youth Center! Spazi gratuiti e aperti, dove i giovani creano cultura, e collaborano  attivamente a realizzare iniziative per la comunità

💜 Ci sarai? Registrati qui:   https://www.eventbrite.com/e/biglietti-youth-center-spiegati-semplici-semplici-barinextgen-vol2-1252815858959

Ti aspettiamo 🌀",
101,"👾 ""E' SUCCESSO UN GUAIO"" a Spine, con Lorenzo Palloni e Livio Costarella",21.02.2025 | 18:30 - 20:30,"Spine Bookstore c/o Officina degli Esordi

Venerdì 21 Febbraio alle 18.30, da noi a Spine Bookstore, il fumettista Lorenzo Palloni presenterà e dedicherà al pubblico barese il suo ultimo graphic novel noir, pubblicato nel 2024 con la casa editrice SaldaPress.
A dialogare con l'autore inoltre, avremo il piacere di avere con noi il giornalista, scrittore e musicista Livio Costarella (La Gazzetta del Mezzogiorno).
Ingresso libero, firmacopie a seguire e libri disponibili sul posto.
Maggiori dettagli al link evento: https://facebook.com/events/s/e-successo-un-guaio-a-spine-co/3506413272987105/","
Ingresso libero, firmacopie a seguire e libri disponibili sul posto.
Maggiori dettagli al link evento: https://facebook.com/events/s/e-successo-un-guaio-a-spine-co/3506413272987105/"
102,"🎥 In the Mood for Love di Wong Kar-wai in versione restaurata in 4k per il 25° anniversario`
",17.02.2025 | 16:00,,
103,🎹 Elettrostation,14.02.2025 | 22:00 - 05:00,"DevilAngel

HB-DAY MIKMOOG 
💥💥ELETTROSTATION 💥💥

Mikmoog
Dd b2b angelo 
Akaburzum
Metaverve
Madstorm
Zio p 
Mc Enzo t

FREE ENTRY",
104,🎨 Inoncontrarte - Cerchi di Arte Condivisa 🫀,16.02.2025 | 11:00 - 13:00,"Parco Campagneros, Bari, Via Raffaele Bovio 16-18

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme!
(Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat)

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator","
 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator"
105,"🎥 Paprika - Sognando un Sogno di Satoshi Kon restaurato in 4K`
",17.02.2025 | 16:15,,
106,❔ 🎙️ZONA SANREMO E ZONA STUDIO📚,11.02.2025 | 16:00 - 16.02.2025 | 00:00,"Zona Franka 3.zero

🎙️ZONA SANREMO E ZONA STUDIO📚

📺Non sai ancora con chi guardare il festival di Sanremo e vorresti vederlo in compagnia ? Vieni a Zona Franka a guadare con noi tutte le serate del Festival davanti a una birra e cibo!

🤝Inoltre dalle 16 sempre per le stesse giornate apriamo il nostro spazio come aula studio ma anche come spazio socialità e aggregazione

____________________________________

💳ingresso gratuito con tessera ARCI ritirabile in sede. La tessera  è valida fino al 30 settembre 2025 e dà accesso a tutti i circoli ARCI italiani. Tesserandoti avrai accesso gratuito a tutte le prossime iniziative di Zona Franka!",
107,"✊ TERZO MOMENTO DI LETTURA- FEMMINISMO BASTARDO`
",08.02.2025 | 18:00 - 09.02.2025 | 00:00,"Via Nicolai 88,Bari

📢 TERZO MOMENTO DI LETTURA – FEMMINISMO BASTARDO 📖🔥

Ci ritroviamo ancora una volta per immergerci nelle pagine ribelli di Femminismo Bastardo di María Galindo, preparandoci per il suo arrivo in città il 12 febbraio. 

🔥 Dopo l’incontro, LIVE di Anafem, per far vibrare i nostri corpi nello spazio della lotta e della gioia condivisa.

❤️‍🔥 Sarà inoltre presente un’installazione fotografica transfemminista dopo un anno da Transfuria, che è stato un importante momento di lotta e di solidarietà alle sorelle trans*

⚡ Portate i vostri libri, le vostre voci, la vostra rabbia e il vostro amore.",
108,🎹 BOB MARLEY Tribute | 80th ANNIVERSARY w/ SOUL ROCKERS ,08.02.2025 | 22:00 - 04:00,"Le Macerie - Baracche Ribelli (Molfetta)

Si riapre dopo la pausa invernale con un appuntamento storico nato per celebrare la nascita del King of Reggae Music 🇯🇲 con un ospite speciale direttamente dalla Toscana!

🔉🔉🔉
Sabato 8 FEBBRAIO 2025
Le MACERIE Baracche Ribelli
Molfetta (BA)

BOB MARLEY TRIBUTE
— 80th Anniversary

🔥 Warm Up - Resident
BONNIE VALENTINE
SHANTY CREW

🔥 Special Guest
SOUL ROCKERS Sound System
dalla Toscana
——
Francesco aka Scratching Sounds e Nico. Soul Rockers è la notazione musicale che nasce dai giorni nostri, da questo tempo,solido e diretto. Due parole che dicono molto, come due selecter, con due selezioni, diverse ma con lo stesso filo conduttore e l’identico amore per quella concezione di suono che ha semplicemente devastato emozionalmente le rispettive identità. 
Ska, rock-steady, early reggae, roots-dub, fino ad arrivare agli 80’s, ma sempre rimanendo... [continua a leggere","
Si riapre dopo la pausa invernale con un appuntamento storico nato per celebrare la nascita del King of Reggae Music 🇯🇲 con un ospite speciale direttamente dalla Toscana!

🔉🔉🔉
Sabato 8 FEBBRAIO 2025
Le MACERIE Baracche Ribelli
Molfetta (BA

BOB MARLEY TRIBUTE
— 80th Anniversary

🔥 Warm Up - Resident
BONNIE VALENTINE
SHANTY CREW

🔥 Special Guest
SOUL ROCKERS Sound System
dalla Toscana
——
Francesco aka Scratching Sounds e Nico. Soul Rockers è la notazione musicale che nasce dai giorni nostri, da questo tempo,solido e diretto. Due parole che dicono molto, come due selecter, con due selezioni, diverse ma con lo stesso filo conduttore e l’identico amore per quella concezione di suono che ha semplicemente devastato emozionalmente le rispettive identità. 
Ska, rock-steady, early reggae, roots-dub, fino ad arrivare agli 80’s, ma sempre rimanendo... [continua a leggere](https://www.apuliacore.org/evento/ee779b81-16cc-4007-873d-f10463c3372b"
109,🎹 elettrostation,06.02.2025 | 22:00 - 03:00,"DevilAngel

☠️ELETTROSTATION☠️
06.02.2025

MIKMOOG
DD
💥Selezioni musicali💥
JUNGLE - DRUM AND BASS -
elettronica / sperimentale/groove/techno

Tutti i giovedì 

🏁22h
Free ENTRY

@devilangel_n30
Via Garrone 30.BARI",
110,🎨 IncontrArte - Cerchi di Arte Libera Condivisa 🫀,07.02.2025 | 19:00 - 21:00,"Spazio 13

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme! ❤️ 

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator",
111,"👾 Edo Massa ospite a Spine con ""PENSI DI STARE MEGLIO?""",14.02.2025 | 18:30 - 20:30,"Spine Bookstore c/o Officina degli Esordio, Via Crispi n.5, Bari 70123

Venerdì 14 Febbraio ALLE 18.30, prima di Sanremo e alla faccia di San Valentino, a Spine torniamo con un nuovo appuntamento dal vivo dedicato questa volta a un giovane fumettista ""culto"", soprattutto sul versante web, ma che con questo ""Pensi di stare meglio?"" ci ha fatto innamorare: Edo Massa https://www.instagram.com/edomassa/

✸VENERDì 14 FEBBRAIO ore 18.30 ✸
Ingresso gratuito, firmacopie a seguire e libri disponibili sul posto.
Spine Bookstore c/o Officina degli Esordi
https://facebook.com/events/s/edo-massa-ospite-a-spine-con-p/1045146750988477/",
112,"🎹 Lettura collettiva e dj set di Autofinanziamento x il 12/02`
",31.01.2025 | 19:00 - 01.02.2025 | 00:00,"Bread&Roses, via Amendola 189/a, Bari

Vi invitiamo al secondo incontro di lettura dedicato a Femminismo Bastardo di María Galindo, un’opera che è miccia, rivolta, riscrittura del possibile. Un’occasione per leggere, discutere e costruire insieme spazi di disobbedienza e trasformazione 📖

In vista della presentazione con l’autrice il 12/02 nello spazio Zamp3 Mostruos3, ci vediamo venerdì 31 gennaio alle 19 al Bread and Roses (via Amendola 189/A).

Ci sarà anche una postazione di serigrafia in cui poter stampare le proprie magliette, puoi portarne una da casa e stampare con un contributo solidale per l’autofinanziamento.

A seguire: festa di autofinanziamento per sostenere la tappa barese del tour di presentazione con Dj Andie e Dj Kakao
(ci saranno anche cena vegan e bevande dalle filiere Fuori Mercato)

Ora puoi copiarlo e utilizzarlo come preferisci!","

Ci sarà anche una postazione di serigrafia in cui poter stampare le proprie magliette, puoi portarne una da casa e stampare con un contributo solidale per l’autofinanziamento.

A seguire: festa di autofinanziamento per sostenere la tappa barese del tour di presentazione con Dj Andie e Dj Kakao
(ci saranno anche cena vegan e bevande dalle filiere Fuori Mercato

Ora puoi copiarlo e utilizzarlo come preferisci!"
113,"🎭 Stand Up Ekòmedy`
",02.02.2025 | 20:00 - 21:00,"Risto-pub Ekoinè, Bari (BA)

Continua la rassegna Stand Up Ekòmedy come sempre all'Ekoinè.A questo giro abbiamo una triade di cavalli di razza della Stand Up Pugliese pronti a sperimentare nuovo materiale e a farvi ridere come non mai.
Maristella Losacco, Sofia Ianigro, Giacomo Cartesio. 3 degli storici componenti del collettivo Stand Apulia. Hanno partecipate all'Open Mic di Comedy Central (Maristella è stata due volte ospite della Line Up allo Spazioporto).E' a Bari, c'è parcheggio, ma soprattutto è gratis. Che volete di più?
Ci vediamo Domenica alle 20:00, PUNTUALI MI RACCOMANDO","
Continua la rassegna Stand Up Ekòmedy come sempre all'Ekoinè.A questo giro abbiamo una triade di cavalli di razza della Stand Up Pugliese pronti a sperimentare nuovo materiale e a farvi ridere come non mai.
Maristella Losacco, Sofia Ianigro, Giacomo Cartesio. 3 degli storici componenti del collettivo Stand Apulia. Hanno partecipate all'Open Mic di Comedy Central (Maristella è stata due volte ospite della Line Up allo Spazioporto.E' a Bari, c'è parcheggio, ma soprattutto è gratis. Che volete di più?
Ci vediamo Domenica alle 20:00, PUNTUALI MI RACCOMANDO"
114,"📖 ""MOBY DICK CITY BLUES"" a Spine con Marco Gnaccolini, Cosimo Miorelli, e Cristó",11.02.2025 | 18:30 - 20:30,"SPINE Bookstore

«Ogni casa editrice di fumetto deve avere il suo Moby Dick»
[AkaB",
115,"🎹 CONCERTO INGRESSO LIBERO`
",29.01.2025 | 21:00 - 30.01.2025 | 00:00,"Bread&Roses, via Amendola 189/A, Bari

Panfocaccia [from Barletta/San Paolo (Bari)","

Commuted [from Toronto (Canada]

Mareeo Beeondo [from Carbonara (Bari]

luce dei miei occhi, non è tanto la fantasia, quanto la perseveranza nel prestare ascolto alla noia 🏁🏁

bread&roses, bari, via amendola 189/A
ingresso a offerta libera
inizio serata ore 21"
116,"🎨 🎨 IncontrArte🫀 - Cerchio di Arte Condivisa✨`
",19.01.2025 | 11:00 - 14:00,"Orto Sociale Campagneros,
Via Raffaelle Bovio 16-18, Bari (BA)

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme! (PS. spesso parte la jam session di rito🤭)

(Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat)

➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator","
🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme! (PS. spesso parte la jam session di rito🤭

(Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat

➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator"
117,"🎹 dj set ingresso libero`
",25.01.2025 | 21:00 - 26.01.2025 | 03:00,"Bread and Roses,Bari (BA)

il 25 gennaio dalle 21in poi, dopo la presentazione del nuovo numero di @jacobinitalia Regime di massima sicurezza, si djsetta e balla assieme!! vieni!! 
ingresso offerta libera x supportare le iniziative dello spazio 💅🏻💅🏻💅🏻","
il 25 gennaio dalle 21in poi, dopo la presentazione del nuovo numero di @jacobinitalia Regime di massima sicurezza, si djsetta e balla assieme!! vieni!! 
ingresso offerta libera x supportare le iniziative dello spazio 💅🏻💅🏻💅🏻"
118,"📖 𝗽𝗿𝗲𝘀𝗲𝗻𝘁𝗮𝘇𝗶𝗼𝗻𝗲 𝗱𝗲𝗹 𝗻𝘂𝗼𝘃𝗼 𝗻𝘂𝗺𝗲𝗿𝗼 𝗱𝗶 𝗝𝗮𝗰𝗼𝗯𝗶𝗻 𝗜𝘁𝗮𝗹𝗶𝗮 𝗱𝗮𝗹 𝘁𝗶𝘁𝗼𝗹𝗼 ""𝗥𝗲𝗴𝗶𝗺𝗲 𝗱𝗶 𝗺𝗮𝘀𝘀𝗶𝗺𝗮 𝘀𝗶𝗰𝘂𝗿𝗲𝘇𝘇𝗮""`
",25.01.2025 | 18:30 - 21:30,"Bread&Roses, Bari (Ba)

Sabato 25 gennaio ore 18.30 ci vediamo al B&Rs per la 𝗽𝗿𝗲𝘀𝗲𝗻𝘁𝗮𝘇𝗶𝗼𝗻𝗲 𝗱𝗲𝗹 𝗻𝘂𝗼𝘃𝗼 𝗻𝘂𝗺𝗲𝗿𝗼 𝗱𝗶 𝗝𝗮𝗰𝗼𝗯𝗶𝗻 𝗜𝘁𝗮𝗹𝗶𝗮 𝗱𝗮𝗹 𝘁𝗶𝘁𝗼𝗹𝗼 ""𝗥𝗲𝗴𝗶𝗺𝗲 𝗱𝗶 𝗺𝗮𝘀𝘀𝗶𝗺𝗮 𝘀𝗶𝗰𝘂𝗿𝗲𝘇𝘇𝗮"".
Sarà un'occasione per conoscere anche a Bari il percorso di elaborazione del gruppo di lavoro di Fuorimercato su ""𝗿𝗼𝗺𝗽𝗲𝗿𝗲 𝗶𝗹 𝗺𝘂𝗿𝗼 𝗱𝗲𝗹𝗹𝗮 𝗽𝗿𝗶𝗴𝗶𝗼𝗻𝗲: 𝗽𝗿𝗮𝘁𝗶𝗰𝗵𝗲 𝗱𝗶 𝗺𝘂𝘁𝘂𝗮𝗹𝗶𝘀𝗺𝗼 𝗱𝗲𝗻𝘁𝗿𝗼 𝗲 𝗳𝘂𝗼𝗿𝗶 𝗱𝗮𝗹 𝗰𝗮𝗿𝗰𝗲𝗿𝗲 𝗽𝗲𝗿 𝗶𝗺𝗺𝗮𝗴𝗶𝗻𝗮𝗿𝗲 𝘂𝗻 𝗳𝘂𝘁𝘂𝗿𝗼 𝗮𝗯𝗼𝗹𝗶𝘇𝗶𝗼𝗻𝗶𝘀𝘁𝗮"".
Un'occasione per conoscere anche comunità specializzata nell'agricoltura contadina, dove lavorano e vivono persone provenienti da contesti di fragilità o marginalità, la maggior parte coinvolte in misure alternative al carcere o che hanno scontato la pena.","
Sabato 25 gennaio ore 18.30 ci vediamo al B&Rs per la 𝗽𝗿𝗲𝘀𝗲𝗻𝘁𝗮𝘇𝗶𝗼𝗻𝗲 𝗱𝗲𝗹 𝗻𝘂𝗼𝘃𝗼 𝗻𝘂𝗺𝗲𝗿𝗼 𝗱𝗶 𝗝𝗮𝗰𝗼𝗯𝗶𝗻 𝗜𝘁𝗮𝗹𝗶𝗮 𝗱𝗮𝗹 𝘁𝗶𝘁𝗼𝗹𝗼 ""𝗥𝗲𝗴𝗶𝗺𝗲 𝗱𝗶 𝗺𝗮𝘀𝘀𝗶𝗺𝗮 𝘀𝗶𝗰𝘂𝗿𝗲𝘇𝘇𝗮"".
Sarà un'occasione per conoscere anche a Bari il percorso di elaborazione del gruppo di lavoro di Fuorimercato su ""𝗿𝗼𝗺𝗽𝗲𝗿𝗲 𝗶𝗹 𝗺𝘂𝗿𝗼 𝗱𝗲𝗹𝗹𝗮 𝗽𝗿𝗶𝗴𝗶𝗼𝗻𝗲: 𝗽𝗿𝗮𝘁𝗶𝗰𝗵𝗲 𝗱𝗶 𝗺𝘂𝘁𝘂𝗮𝗹𝗶𝘀𝗺𝗼 𝗱𝗲𝗻𝘁𝗿𝗼 𝗲 𝗳𝘂𝗼𝗿𝗶 𝗱𝗮𝗹 𝗰𝗮𝗿𝗰𝗲𝗿𝗲 𝗽𝗲𝗿 𝗶𝗺𝗺𝗮𝗴𝗶𝗻𝗮𝗿𝗲 𝘂𝗻 𝗳𝘂𝘁𝘂𝗿𝗼 𝗮𝗯𝗼𝗹𝗶𝘇𝗶𝗼𝗻𝗶𝘀𝘁𝗮"".
Un'occasione per conoscere anche comunità specializzata nell'agricoltura contadina, dove lavorano e vivono persone provenienti da contesti di fragilità o marginalità, la maggior parte coinvolte in misure alternative al carcere o che hanno scontato la pena."
119,🎹 Sound Fest Social Club,21.01.2025 | 21:00 - 21:00,"Pellicano Pub

Rassegna musicale Sound Fest Social Club una piattaforma di scoperta musicale, dove si alternano concerti di jazz, rock, elettronica, indie, world music e molto altro. Uno spazio di aggregazione sociale, un viaggio sonoro che non conosce confini.",
120,"🎥 Tombolata Cinematografica - Una serata dedicata alla settima arte!`
",23.01.2025 | 20:30 - 22:30,"Officina degli Esordi, Bari (BA)

Siete pronti/e a un'esperienza unica tra cinema e tradizione?
Le associazioni La Scatola Blu e l’Armata Brancaleone vi invitano alla 𝐓𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐂𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚!

𝐂𝐨𝐬'𝐞̀ 𝐮𝐧𝐚 𝐭𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐜𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚?
Ad ogni numero corrisponderà l'immagine di una locandina di un film iconico, rivisitata in chiave smorfia napoletana. E per rendere tutto ancora più speciale, ad ambo, terna e altre combinazioni proietteremo i trailer esclusivi dei film in uscita nella prossima stagione cinematografica.

Ci saranno tantissimi premi in palio.

Contributo di 6 € per rendere ancora più belle le attività delle nostre associazioni e la prima consumazione al bar la offriamo noi (birra piccola, bibita o acqua)

𝐏𝐫𝐞𝐧𝐨𝐭𝐚𝐭𝐞 𝐢𝐥 𝐯𝐨𝐬𝐭𝐫𝐨 𝐩𝐨𝐬𝐭𝐨 𝐪𝐮𝐢: https://bit.ly/tombolatacinematografica012025","
Siete pronti/e a un'esperienza unica tra cinema e tradizione?
Le associazioni La Scatola Blu e l’Armata Brancaleone vi invitano alla 𝐓𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐂𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚!

𝐂𝐨𝐬'𝐞̀ 𝐮𝐧𝐚 𝐭𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐜𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚?
Ad ogni numero corrisponderà l'immagine di una locandina di un film iconico, rivisitata in chiave smorfia napoletana. E per rendere tutto ancora più speciale, ad ambo, terna e altre combinazioni proietteremo i trailer esclusivi dei film in uscita nella prossima stagione cinematografica.

Ci saranno tantissimi premi in palio.

Contributo di 6 € per rendere ancora più belle le attività delle nostre associazioni e la prima consumazione al bar la offriamo noi (birra piccola, bibita o acqua

𝐏𝐫𝐞𝐧𝐨𝐭𝐚𝐭𝐞 𝐢𝐥 𝐯𝐨𝐬𝐭𝐫𝐨 𝐩𝐨𝐬𝐭𝐨 𝐪𝐮𝐢: https://bit.ly/tombolatacinematografica012025"
